GEO_UNIQUE_ID,YEAR,NUM_FIRES,TOTAL_AREA_BURNED_IN_M2,AVG_FIRE_DURATION_DAYS,MAX_PCT_TRACT_BURNED
015000202,2017,3,88223846.11007257,39.333333333333336,4.186208000578419
015000202,2018,2,18846112.40551542,104.5,0.9035329679891008
015000202,2020,1,124866529.93948476,95.0,5.992660438353383
015000202,2023,8,423144539.8343231,83.25,14.918011801351163
015000203,2022,1,63308.899552443974,6.0,0.0171693083898344
017030502,2021,1,4502.305205146929,95.0,0.026098564995901314
017030601,2016,1,199237.23557048402,2.0,0.12098363805390686
017030601,2018,1,269894.7735774871,1.0,0.16388930264788917
017030603,2013,1,2310210.7689687624,3.0,0.1894895145326418
017030603,2014,1,246542879.56117055,27.0,20.2220902036482
017030603,2015,2,286787.6680291917,122.5,0.016199949707347047
017030603,2017,3,1895302.9465886243,19.0,0.14163690530847414
017030603,2020,1,6751978.510661545,61.0,0.5538148931282147
017030603,2021,2,65065275.595992334,48.0,5.330058923400486
