Median_Household_Income,Total_Population,PRICE,Avg_Household_Size,Gini_Index,ZIP_CODE,YEAR,Employment_Rate,Below_Poverty_Rate,Rate_College_or_Higher,Black_Portion,White_Portion,American_Indian_and_Alaska_Native_Portion,Asian_Portion,NUM_FIRES,TOTAL_ACRES_BURNED_IN_ZIP,AVG_FIRE_DURATION_DAYS,MAX_PCT_ZIP_BURNED,ANY_MAJOR_FIRE,FIRE_EXPOSED,NEXT_YEAR_PRICE,PRICE_CHANGE,PCT_PRICE_CHANGE (%),ROLLING_1yr_PRICE_CHANGE,HOME_PRICE_LAG1,PRICE_CHANGE_LAG1,PRICE_CHANGE_DIFF,PREV_MAX_PCT_ZIP_BURNED,FIRE_LAST_YEAR,FIRE_SHOCK
29686.0,66200,231700.0,4.12,0.4317,90003,2013,83.97910481416062,39.22557133095437,22.309146430129417,25.664652567975832,27.16767371601209,0.8262839879154079,0.1555891238670695,0.0,0.0,0.0,0.0,0.0,0,228600.0,-3100.0,-1.3379369874838154,-6.723027375201288,248400.0,-16700.0,13600.0,0.0,0,0
30016.0,66913,228600.0,4.19,0.4256,90003,2014,83.51313572990216,38.585895008864455,21.815598806648673,24.63796272772107,22.38578452617578,0.7636782090176797,0.3616636528028933,0.0,0.0,0.0,0.0,0.0,0,242200.0,13600.0,5.94925634295713,-1.3379369874838154,231700.0,-3100.0,16700.0,0.0,0,0
30805.0,69502,242200.0,4.25,0.4248,90003,2015,85.48637193756245,36.61737469614539,21.456835984817896,23.243935426318668,23.86262265834077,0.8805501999942447,0.2848838882334321,0.0,0.0,0.0,0.0,0.0,0,268500.0,26300.0,10.858794384805945,5.94925634295713,228600.0,13600.0,12700.0,0.0,0,0
31878.0,70208,268500.0,4.24,0.4244,90003,2016,85.98362855609233,35.16540168981813,21.557653581609436,23.082839562443027,25.800478577939835,0.8460574293527803,0.2563810391978122,0.0,0.0,0.0,0.0,0.0,0,300700.0,32200.0,11.992551210428305,10.858794384805945,242200.0,26300.0,5900.0,0.0,0,0
34397.0,70490,300700.0,4.24,0.4232,90003,2017,87.46322327558026,33.10041924535835,22.077955141424173,22.383316782522343,29.76734288551567,0.739111930770322,0.2851468293374947,0.0,0.0,0.0,0.0,0.0,0,327700.0,27000.0,8.979048885932823,11.992551210428305,268500.0,32200.0,-5200.0,0.0,0,0
37226.0,72741,327700.0,4.23,0.4355,90003,2018,89.47171458866089,30.65973853680109,22.56466302367942,22.182812994047374,32.46587206664742,0.6791218157572758,0.3533083130559107,0.0,0.0,0.0,0.0,0.0,0,362800.0,35100.0,10.711016173329265,8.979048885932823,300700.0,27000.0,8100.0,0.0,0,0
38430.0,62884,818400.0,2.69,0.5578,90004,2012,87.39315104857978,22.6007326007326,46.43832159489779,3.003943769480313,34.24559506392723,0.4993321035557534,26.23878888111443,0.0,0.0,0.0,0.0,0.0,0,776300.0,-42100.0,-5.144183773216032,,,,,0.0,0,0
37976.0,62760,776300.0,2.71,0.5628,90004,2013,85.65235891707887,24.50237042476096,45.32604469248188,3.1421287444231996,33.72370936902486,0.6182281708094327,24.921924792861695,0.0,0.0,0.0,0.0,0.0,0,724900.0,-51400.0,-6.621151616643051,-5.144183773216032,818400.0,-42100.0,-9300.0,0.0,0,0
38493.0,63547,724900.0,2.75,0.5665,90004,2014,86.65801736920145,25.193211570612917,46.09543239261023,3.5737328276708578,34.54293672399956,0.4500605850787605,25.648732434261255,0.0,0.0,0.0,0.0,0.0,0,746000.0,21100.0,2.9107463098358393,-6.621151616643051,776300.0,-51400.0,72500.0,0.0,0,0
40612.0,64008,746000.0,2.78,0.5638,90004,2015,88.48520837832001,23.46336345271466,45.23783001002562,3.6292338457692783,38.14366954130733,0.3593300837395325,25.76084239470066,0.0,0.0,0.0,0.0,0.0,0,838000.0,92000.0,12.332439678284182,2.9107463098358393,724900.0,21100.0,70900.0,0.0,0,0
